name	x	y	z	size	material	manufacturer	group	hemisphere
T01	58.449	52.604	20.734	4.155	Platinum	AdTech	T	R
T02	63.449	43.604	19.734	4.155	Platinum	AdTech	T	R
T03	67.449	33.604	19.734	4.155	Platinum	AdTech	T	R
T04	68.449	24.604	18.734	4.155	Platinum	AdTech	T	R
T05	69.449	14.604	18.734	4.155	Platinum	AdTech	T	R
T06	66.449	4.604	15.734	4.155	Platinum	AdTech	T	R
T07	61.449	-5.396	15.734	4.155	Platinum	AdTech	T	R
T08	57.449	-14.396	15.734	4.155	Platinum	AdTech	T	R
T09	57.449	51.604	29.734	4.155	Platinum	AdTech	T	R
T10	61.449	42.604	29.734	4.155	Platinum	AdTech	T	R
T11	65.449	32.604	29.734	4.155	Platinum	AdTech	T	R
T12	68.449	24.604	28.734	4.155	Platinum	AdTech	T	R
T13	68.449	13.604	28.734	4.155	Platinum	AdTech	T	R
T14	65.449	2.604	26.734	4.155	Platinum	AdTech	T	R
T15	60.449	-6.396	26.734	4.155	Platinum	AdTech	T	R
T16	56.449	-15.396	25.734	4.155	Platinum	AdTech	T	R
sT1	34.449	43.604	-11.266	4.155	Platinum	AdTech	sT	R
sT2	38.449	33.604	-9.266	4.155	Platinum	AdTech	sT	R
sT3	40.449	25.604	-5.266	4.155	Platinum	AdTech	sT	R
sT4	42.449	17.604	-0.266	4.155	Platinum	AdTech	sT	R
sT5	47.449	9.604	-0.266	4.155	Platinum	AdTech	sT	R
sT6	52.449	-0.396	-0.266	4.155	Platinum	AdTech	sT	R
sT7	54.449	-9.396	1.734	4.155	Platinum	AdTech	sT	R
sT8	53.449	-17.396	7.734	4.155	Platinum	AdTech	sT	R
Oc1	5.449	-12.396	37.734	4.155	Platinum	AdTech	Oc	R
Oc2	5.449	-21.396	41.734	4.155	Platinum	AdTech	Oc	R
Oc3	5.449	-33.396	46.734	4.155	Platinum	AdTech	Oc	R
Oc4	16.449	-35.396	49.734	4.155	Platinum	AdTech	Oc	R
Oc5	28.449	-34.396	49.734	4.155	Platinum	AdTech	Oc	R
Oc6	37.449	-28.396	49.734	4.155	Platinum	AdTech	Oc	R
Oc7	43.449	-19.396	47.734	4.155	Platinum	AdTech	Oc	R
Oc8	50.449	-14.396	45.734	4.155	Platinum	AdTech	Oc	R
Oc9	6.449	-16.396	28.734	4.155	Platinum	AdTech	Oc	R
Oc10	5.449	-25.396	32.734	4.155	Platinum	AdTech	Oc	R
Oc11	4.449	-38.396	37.734	4.155	Platinum	AdTech	Oc	R
Oc12	18.449	-42.396	40.734	4.155	Platinum	AdTech	Oc	R
Oc13	29.449	-36.396	39.734	4.155	Platinum	AdTech	Oc	R
Oc14	38.449	-31.396	39.734	4.155	Platinum	AdTech	Oc	R
Oc15	45.449	-22.396	38.734	4.155	Platinum	AdTech	Oc	R
Oc16	53.449	-16.396	36.734	4.155	Platinum	AdTech	Oc	R
Oc17	8.449	-20.396	19.734	4.155	Platinum	AdTech	Oc	R
Oc18	5.449	-28.396	23.734	4.155	Platinum	AdTech	Oc	R
Oc19	6.449	-42.396	27.734	4.155	Platinum	AdTech	Oc	R
Oc20	19.449	-46.396	30.734	4.155	Platinum	AdTech	Oc	R
Oc21	30.449	-40.396	30.734	4.155	Platinum	AdTech	Oc	R
Oc22	39.449	-33.396	29.734	4.155	Platinum	AdTech	Oc	R
Oc23	46.449	-26.396	27.734	4.155	Platinum	AdTech	Oc	R
Oc24	54.449	-19.396	26.734	4.155	Platinum	AdTech	Oc	R
Oc25	13.449	-25.396	10.734	4.155	Platinum	AdTech	Oc	R
Oc26	5.449	-32.396	12.734	4.155	Platinum	AdTech	Oc	R
Oc27	8.449	-44.396	17.734	4.155	Platinum	AdTech	Oc	R
Oc28	20.449	-46.396	19.734	4.155	Platinum	AdTech	Oc	R
Oc29	31.449	-41.396	19.734	4.155	Platinum	AdTech	Oc	R
Oc30	40.449	-36.396	19.734	4.155	Platinum	AdTech	Oc	R
Oc31	47.449	-28.396	18.734	4.155	Platinum	AdTech	Oc	R
Oc32	52.449	-20.396	15.734	4.155	Platinum	AdTech	Oc	R
