name	x	y	z	size	group	hemisphere	impedance
OT01	-62.667	-7.382	17.258	4.155	OT	L	0.000
OT02	-61.667	-16.382	17.258	4.155	OT	L	0.000
OT03	-58.667	-27.382	17.258	4.155	OT	L	0.000
OT04	-57.667	-37.382	18.258	4.155	OT	L	0.000
OT05	-53.667	-47.382	18.258	4.155	OT	L	0.000
OT06	-48.667	-56.382	18.258	4.155	OT	L	0.000
OT07	-43.667	-65.382	19.258	4.155	OT	L	0.000
OT08	-36.667	-74.382	19.258	4.155	OT	L	0.000
OT09	-63.667	-7.382	6.258	4.155	OT	L	0.000
OT10	-59.667	-17.382	7.258	4.155	OT	L	0.000
OT11	-58.667	-27.382	7.258	4.155	OT	L	0.000
OT12	-55.667	-37.382	6.258	4.155	OT	L	0.000
OT13	-52.667	-47.382	8.258	4.155	OT	L	0.000
OT14	-48.667	-56.382	8.258	4.155	OT	L	0.000
OT15	-42.667	-65.382	9.258	4.155	OT	L	0.000
OT16	-36.667	-73.382	8.258	4.155	OT	L	0.000
BT01	-58.667	4.618	37.258	4.155	BT	L	0.000
BT02	-59.667	-5.382	37.258	4.155	BT	L	0.000
BT03	-56.667	-16.382	35.258	4.155	BT	L	0.000
BT04	-57.667	-26.382	35.258	4.155	BT	L	0.000
BT05	-56.667	-36.382	34.258	4.155	BT	L	0.000
BT06	-53.667	-46.382	34.258	4.155	BT	L	0.000
BT07	-48.667	-55.382	34.258	4.155	BT	L	0.000
BT08	-43.667	-64.382	36.258	4.155	BT	L	0.000
BT09	-57.667	4.618	27.258	4.155	BT	L	0.000
BT10	-60.667	-4.382	27.258	4.155	BT	L	0.000
BT11	-61.667	-16.382	25.258	4.155	BT	L	0.000
BT12	-59.667	-26.382	25.258	4.155	BT	L	0.000
BT13	-56.667	-36.382	24.258	4.155	BT	L	0.000
BT14	-52.667	-47.382	23.258	4.155	BT	L	0.000
BT15	-47.667	-55.382	24.258	4.155	BT	L	0.000
BT16	-44.667	-65.382	27.258	4.155	BT	L	0.000
vT1	-20.667	29.618	-10.742	4.155	vT	L	0.000
vT2	-29.667	25.618	-16.742	4.155	vT	L	0.000
vT3	-38.667	21.618	-18.742	4.155	vT	L	0.000
vT4	-47.667	16.618	-16.742	4.155	vT	L	0.000
vT5	-53.667	9.618	-12.742	4.155	vT	L	0.000
vT6	-57.667	2.618	-8.742	4.155	vT	L	0.000
vT7	-59.667	-3.382	-1.742	4.155	vT	L	0.000
vT8	-61.667	-10.382	5.258	4.155	vT	L	0.000
sT1	-14.667	-14.382	-1.742	4.155	sT	L	0.000
sT2	-22.667	-17.382	-6.742	4.155	sT	L	0.000
sT3	-31.667	-20.382	-8.742	4.155	sT	L	0.000
sT4	-40.667	-24.382	-9.742	4.155	sT	L	0.000
sT5	-49.667	-27.382	-7.742	4.155	sT	L	0.000
sT6	-54.667	-30.382	-1.742	4.155	sT	L	0.000
sT7	-56.667	-35.382	10.258	4.155	sT	L	0.000
sT8	-57.667	-35.382	18.258	4.155	sT	L	0.000
D1	-17.144	-33.548	19.418	1.005	D	L	0.000
D2	-22.845	-34.681	19.350	1.005	D	L	0.000
D3	-27.445	-35.280	19.350	1.005	D	L	0.000
D4	-32.145	-36.379	18.749	1.005	D	L	0.000
D5	-36.845	-36.878	18.248	1.005	D	L	0.000
D6	-41.736	-38.241	18.475	1.005	D	L	0.000
D7	-46.312	-40.043	19.164	1.005	D	L	0.000
D8	-48.646	-42.876	21.747	1.005	D	L	0.000
P01	-52.667	-28.382	56.258	4.155	P	L	0.000
P02	-51.667	-39.382	54.258	4.155	P	L	0.000
P03	-47.667	-49.382	52.258	4.155	P	L	0.000
P04	-43.667	-57.382	50.258	4.155	P	L	0.000
P05	-57.667	-29.382	46.258	4.155	P	L	0.000
P06	-55.667	-39.382	44.258	4.155	P	L	0.000
P07	-51.667	-48.382	43.258	4.155	P	L	0.000
P08	-47.667	-57.382	42.258	4.155	P	L	0.000
